Transplant Center,City,Region,Address,Lat,Long,Liver Arrival Rate,Registerer Arrival Rate,Total waitlist,Deaths
ALUA - University of Alabama Hospital,"Birmingham, AL",3,"ALUA - University of Alabama Hospital, Birmingham, AL, USA",33.50715499,-86.79395949,131.5,197,123,19
ARUA - UAMS Medical Center,"Little Rock, AR",3,"ARUA - UAMS Medical Center, Little Rock, AR, USA",34.74435234,-92.38446501,36,62,48,2.5
AZGS - Banner-University Medical Center Phoenix,"Phoenix, AZ",5,"AZGS - Banner-University Medical Center Phoenix, Phoenix, AZ, USA",33.46431,-112.05879,92.5,114,59.5,9.5
AZMC - Mayo Clinic Hospital,"Phoenix, AZ",5,"AZMC - Mayo Clinic Hospital, Phoenix, AZ, USA",33.6578,-111.95395,117,132.5,109,6
AZSJ - St. Joseph's Hospital and Medical Center,"Phoenix, AZ",5,"AZSJ - St. Joseph's Hospital and Medical Center, Phoenix, AZ, USA",33.48177,-112.07997,14.5,30.5,17.5,1.5
AZUA - Banner University Medical Center-Tucson,"Tucson, AZ",5,"AZUA - Banner University Medical Center-Tucson, Tucson, AZ, USA",32.24243,-110.94733,17.5,23,14.5,1
CACS - Cedars-Sinai Medical Center,"Los Angeles, CA",5,"CACS - Cedars-Sinai Medical Center, Los Angeles, CA, USA",34.07527,-118.38062,90,118,165,10
CAGH - Scripps Green Hospital,"La Jolla, CA",5,"CAGH - Scripps Green Hospital, La Jolla, CA, USA",38.34574,-121.63968,33.5,48,76.5,9
CALL - Loma Linda University Medical Center,"Loma Linda, CA",5,"CALL - Loma Linda University Medical Center, Loma Linda, CA, USA",34.04948,-117.26366,65.5,105,124,18
CAMB - UCSF Medical Center at Mission Bay,"San Francisco, CA",5,"CAMB - UCSF Medical Center at Mission Bay, San Francisco, CA, USA",37.7669,-122.38979,9,13,11.5,1.5
CAPM - California Pacific Medical Center-Van Ness Campus,"San Francisco, CA",5,"CAPM - California Pacific Medical Center-Van Ness Campus, San Francisco, CA, USA",37.77712,-122.41964,61,116.5,225,8.5
CASD - University of California San Diego Medical Center,"San Diego, CA",5,"CASD - University of California San Diego Medical Center, San Diego, CA, USA",32.75388,-117.16555,33.5,82,115,12.5
CASF - University of California San Francisco Medical Center,"San Francisco, CA",5,"CASF - University of California San Francisco Medical Center, San Francisco, CA, USA",37.76321,-122.45796,176.5,328,716.5,51
CASU - Stanford Health Care,"Stanford, CA",5,"CASU - Stanford Health Care, Stanford, CA, USA",37.43429,-122.1769,86.5,156.5,370.5,20
CAUC - University of California at Los Angeles Medical Center,"Los Angeles, CA",5,"CAUC - University of California at Los Angeles Medical Center, Los Angeles, CA, USA",34.13770004,-117.9950299,157.5,356.5,452.5,48.5
CAUH - Keck Hospital of USC,"Los Angeles, CA",5,"CAUH - Keck Hospital of USC, Los Angeles, CA, USA",34.58373021,-118.1470906,103,185,270.5,26.5
COPM - Centura Porter Adventist Hospital ,"Denver, CO",8,"COPM - Centura Porter Adventist Hospital , Denver, CO, USA",39.67005,-104.97489,14,29,34.5,4.5
COSL - Presbyterian/St Luke's Medical Center,"Denver, CO",8,"COSL - Presbyterian/St Luke's Medical Center, Denver, CO, USA",39.74658,-104.96672,12,52.5,63,2
COUC - University of Colorado Hospital/Health Science Center,"Aurora, CO",8,"COUC - University of Colorado Hospital/Health Science Center, Aurora, CO, USA",39.70932,-104.81458,97.5,126,396,22.5
CTHH - Hartford Hospital,"Hartford, CT",1,"CTHH - Hartford Hospital, Hartford, CT, USA",41.75437,-72.67905,28,40,31,5
CTYN - Yale New Haven Hospital,"New Haven, CT",1,"CTYN - Yale New Haven Hospital, New Haven, CT, USA",41.31029,-72.94355,27,60,103.5,6
DCGU - Georgetown University Medical Center,"Washington, DC",2,"DCGU - Georgetown University Medical Center, Washington, DC, USA",38.9109796,-77.07824017,122,211,265.5,32
FLBC - Broward Health Medical Center,"Ft. Lauderdale, FL",3,"FLBC - Broward Health Medical Center, Ft. Lauderdale, FL, USA",26.10207,-80.14087,16.5,33.5,25,1
FLCC - Cleveland Clinic Florida Weston,"Weston, FL",3,"FLCC - Cleveland Clinic Florida Weston, Weston, FL, USA",26.08269,-80.36416,61,79,54.5,4
FLFH - AdventHealth Orlando,"Orlando, FL",3,"FLFH - AdventHealth Orlando, Orlando, FL, USA",28.57325,-81.36974,66.5,73.5,29,2
FLJM - Jackson Memorial Hospital University of Miami School of Medicine,"Miami, FL",3,"FLJM - Jackson Memorial Hospital University of Miami School of Medicine, Miami, FL, USA",25.77481,-80.19773,138.5,188,134,21
FLLM - Largo Medical Center,"Largo, FL",3,"FLLM - Largo Medical Center, Largo, FL, USA",27.91447,-82.80324,6,10,4.5,0
FLSL - Mayo Clinic Florida,"Jacksonville, FL",3,"FLSL - Mayo Clinic Florida, Jacksonville, FL, USA",30.26109,-81.44306,156.5,194.5,107.5,6
FLTG - Tampa General Hospital,"Tampa, FL",3,"FLTG - Tampa General Hospital, Tampa, FL, USA",27.93753,-82.45929,67,93,59,2.5
FLUF - UF Health Shands Hospital,"Gainesville, FL",3,"FLUF - UF Health Shands Hospital, Gainesville, FL, USA",29.6398,-82.34271,29.5,59,82.5,4
GAEM - Emory University Hospital,"Atlanta, GA",3,"GAEM - Emory University Hospital, Atlanta, GA, USA",33.79232,-84.32186,126,188.5,154.5,19
GAPH - Piedmont Hospital,"Atlanta, GA",3,"GAPH - Piedmont Hospital, Atlanta, GA, USA",33.80885,-84.39554,118.5,170.5,208,10.5
HIQM - The Queen's Medical Center,"Honolulu, HI",6,"HIQM - The Queen's Medical Center, Honolulu, HI, USA",21.30781,-157.85394,14.5,18,28,5
IAIV - University of Iowa Hospitals and Clinics Transplant Programs,"Iowa City, IA",8,"IAIV - University of Iowa Hospitals and Clinics Transplant Programs, Iowa City, IA, USA",41.65985,-91.54804,24.5,49.5,36,6
ILLU - Loyola University Medical Center,"Maywood, IL",7,"ILLU - Loyola University Medical Center, Maywood, IL, USA",41.85952,-87.8341,59,108.5,139.5,13.5
ILNM - Northwestern Memorial Hospital,"Chicago, IL",7,"ILNM - Northwestern Memorial Hospital, Chicago, IL, USA",41.89495,-87.62223,102,136.5,69.5,6.5
ILPL - Rush University Medical Center,"Chicago, IL",7,"ILPL - Rush University Medical Center, Chicago, IL, USA",41.87449,-87.66819,28.5,45,39,1.5
ILUC - University of Chicago Medical Center,"Chicago, IL",7,"ILUC - University of Chicago Medical Center, Chicago, IL, USA",41.80016,-87.58866,28.5,42.5,31.5,1
ILUI - University of Illinois Medical Center,"Chicago, IL",7,"ILUI - University of Illinois Medical Center, Chicago, IL, USA",41.86922,-87.67062,33.5,79,64,5.5
INIM - Indiana University Health,"Indianapolis, IN",10,"INIM - Indiana University Health, Indianapolis, IN, USA",39.77157,-86.17562,155.5,189.5,68,6
KSUK - University of Kansas Hospital,"Kansas City, KS",8,"KSUK - University of Kansas Hospital, Kansas City, KS, USA",39.05615,-94.61062,92.5,128,107.5,8
KYJH - Jewish Hospital,"Louisville, KY",11,"KYJH - Jewish Hospital, Louisville, KY, USA",38.25489,-85.76666,36,52,45,1
KYUK - University of Kentucky Medical Center,"Lexington, KY",11,"KYUK - University of Kentucky Medical Center, Lexington, KY, USA",38.04859,-84.50032,41.5,101,128.5,22.5
LAOF - Ochsner Foundation Hospital,"New Orleans, LA",3,"LAOF - Ochsner Foundation Hospital, New Orleans, LA, USA",29.9537,-90.07775,191.5,229.5,97,6.5
LATU - Tulane Medical Center,"New Orleans, LA",3,"LATU - Tulane Medical Center, New Orleans, LA, USA",29.95512,-90.07574,19.5,26.5,14,1
LAWK - Willis-Knighton Medical Center,"Shreveport, LA",3,"LAWK - Willis-Knighton Medical Center, Shreveport, LA, USA",32.48296,-93.78217,21,36,56.5,3.5
MABI - Beth Israel Deaconess Medical Center,"Boston, MA",1,"MABI - Beth Israel Deaconess Medical Center, Boston, MA, USA",42.33831,-71.10613,30.5,65,84,1
MALC - Lahey Clinic Medical Center,"Burlington, MA",1,"MALC - Lahey Clinic Medical Center, Burlington, MA, USA",42.50595,-71.194,104,131.5,120.5,17.5
MAMG - Massachusetts General Hospital,"Boston, MA",1,"MAMG - Massachusetts General Hospital, Boston, MA, USA",42.36278,-71.06867,73.5,181.5,289.5,29
MAUM - UMass Memorial Medical Center,"Worcester, MA",1,"MAUM - UMass Memorial Medical Center, Worcester, MA, USA",42.27625,-71.76208,64,135.5,285.5,15.5
MDJH - Johns Hopkins Hospital,"Baltimore, MD",2,"MDJH - Johns Hopkins Hospital, Baltimore, MD, USA",39.2973,-76.5933,113.5,193.5,393.5,25
MDUM - University of Maryland Medical System,"Baltimore, MD",2,"MDUM - University of Maryland Medical System, Baltimore, MD, USA",39.29944,-76.62043,151,242,438,45
MIBH - William Beaumont Hospital,"Royal Oak, MI",10,"MIBH - William Beaumont Hospital, Royal Oak, MI, USA",42.51419,-83.19269,28.5,46,41,0.5
MIHF - Henry Ford Hospital,"Detroit, MI",10,"MIHF - Henry Ford Hospital, Detroit, MI, USA",42.36614,-83.08569,111.5,171,197,17
MIUM - University of Michigan Medical Center,"Ann Arbor, MI",10,"MIUM - University of Michigan Medical Center, Ann Arbor, MI, USA",42.28476,-83.72766,79,117.5,160,18
